Game Date,Game Start Date,Game Type,Grade,Round,Game Status,Venue,Playing Surface,Time,Toss Winner,Elected To,Home Team,Home Team Organisation Name,Home Team Score,Home Team Over Limit,Home Team Result,Home Team Players In Lineup,Home Team Player Points,Away Team,Away Team Organisation Name,Away Team Score,Away Team Over Limit,Away Team Result,Away Team Players In Lineup,Away Team Player Points,Bye,Host Organisation,Competition,Competition Type,Season,Game Alias,Game Code,Game Id,Result Source,Result Timestamp,Last Updated At,Last Updated By,Last Updated By Organisation
25/11/2025,2025-11-25,T20,T20 B - Greg Chappell Cricket Shield,Round 1,Final,Mirrabooka Reserve,Mirrabooka Reserve #1 - South,17:15,Laburnum T20 1st XI,Bowl,Blackburn South T20 1st XI,Blackburn South Cricket Club,10/143 (17.5),20,Lost,11,,Laburnum T20 1st XI,Laburnum Cricket Club,5/144 (16.4),20,Won,11,,,Box Hill Reporter District Cricket Association,BHRDCA T20 Competition,Home and away,Summer 2025/26,,ecc312,ecc312a0-bbc1-4b49-974d-9cb1e2115227,E-scoring,25/11/2025 19:24 (Australia/Melbourne),2025-11-25T23:45:00+11:00[Australia/Melbourne],Sumeet Pal,Laburnum Cricket Club
02/12/2025,2025-12-02,T20,T20 B - Greg Chappell Cricket Shield,Round 2,Final,Columbia Park,Columbia Park,17:15,Notting Hill Brandon Park - T20,Bat,Notting Hill Brandon Park - T20,Notting Hill Brandon Park Cricket Club,8/110 (20),20,Lost,11,,Laburnum T20 1st XI,Laburnum Cricket Club,2/116 (16),20,Won,12,,,Box Hill Reporter District Cricket Association,BHRDCA T20 Competition,Home and away,Summer 2025/26,,149d87,149d872a-b57c-4960-a883-0660b20eeba0,E-scoring,02/12/2025 19:27 (Australia/Melbourne),2025-12-02T19:27:00+11:00[Australia/Melbourne],,
06/12/2025,2025-12-06,One Day,3. Compare & Conect Dorothy McIntosh Shield,Round 8,Abandoned,East Burwood Reserve,Oval 1 - South,13:00,East Burwood - 1st XI,Bowl,East Burwood - 1st XI,East Burwood Cricket Club,,40,Abandoned,11,13,Laburnum - 1st XI,Laburnum Cricket Club,0/38 (5),36,Abandoned,11,12,,Box Hill Reporter District Cricket Association,BHRDCA Senior Competition,Home and away,Summer 2025/26,,a62d3d,a62d3dd8-7ace-46b7-8e48-de30a012c49a,E-scoring,06/12/2025 15:10 (Australia/Melbourne),2025-12-06T15:10:00+11:00[Australia/Melbourne],,
06/12/2025,2025-12-06,One Day,"H Grade (Split Innings - 64 Overs, 13 Players)",Round 6,Abandoned,Burgundy Drive Reserve,Burgundy Drive Reserve,13:00,,,Park Orchards - 4th XI,Park Orchards Cricket Club,,32,Abandoned,12,,Laburnum - 4th XI,Laburnum Cricket Club,,32,Abandoned,11,,,Box Hill Reporter District Cricket Association,BHRDCA Senior Competition,Home and away,Summer 2025/26,,854bc7,854bc756-7499-4488-9c45-5afbbae33254,E-scoring,06/12/2025 17:19 (Australia/Melbourne),2025-12-06T22:42:00+11:00[Australia/Melbourne],Craig Hunt,Park Orchards Cricket Club
09/12/2025,2025-12-09,T20,T20 G - Top Notch Trophies Shield,Round 3,Final,East Burwood Reserve,Oval 2 - North,17:15,Laburnum T20 2nd XI,Bat,East Burwood Senior Men T20 Gold,East Burwood Cricket Club,10/103 (19.1),20,Lost,11,,Laburnum T20 2nd XI,Laburnum Cricket Club,3/182 (20),20,Won,12,,,Box Hill Reporter District Cricket Association,BHRDCA T20 Competition,Home and away,Summer 2025/26,,ed5285,ed528503-5780-4dc9-8f2b-032cadc22170,E-scoring,09/12/2025 20:08 (Australia/Melbourne),2025-12-09T22:38:00+11:00[Australia/Melbourne],Sumeet Pal,Laburnum Cricket Club
"13/12/2025, 20/12/2025",2025-12-13,Two Day,"C Grade (70 Overs, 12 Players)",Round 7,Final,Stradbroke Park,North Oval,13:00,Koonung Heights - 3rd XI,Bowl,Koonung Heights - 3rd XI,Koonung Heights Cricket Club,10/157 (64.4),,Lost on first innings,12,,Laburnum - 3rd XI,Laburnum Cricket Club,8/172 (70),,Won on first innings,12,,,Box Hill Reporter District Cricket Association,BHRDCA Senior Competition,Home and away,Summer 2025/26,,d30b66,d30b66d4-2e98-4512-af9f-d6c2b3053ec9,Manual,12/01/2026 19:45 (Australia/Melbourne),2026-01-12T19:45:00+11:00[Australia/Melbourne],Sumeet Pal,Laburnum Cricket Club
"13/12/2025, 20/12/2025",2025-12-13,Two Day,"A Grade (80 Overs, 12 Players)",Round 8,Final,Donvale Reserve,Donvale Reserve #3,13:00,Laburnum - 2nd XI,Bowl,St. Davids - 2nd XI,St Davids Cricket Club,10/168 (72.5),,Won on first innings,12,,Laburnum - 2nd XI,Laburnum Cricket Club,10/144 (48.1),,Lost on first innings,12,,,Box Hill Reporter District Cricket Association,BHRDCA Senior Competition,Home and away,Summer 2025/26,,6e4f4a,6e4f4aa5-6fc8-49a7-af2e-d0e3be9fbcd5,Manual,12/01/2026 12:54 (Australia/Melbourne),2026-01-12T12:54:00+11:00[Australia/Melbourne],Sumeet Pal,Laburnum Cricket Club
"13/12/2025, 20/12/2025",2025-12-13,Two Day,"I Grade (Split Innings - 64 Overs, 13 Players)",Round 7,Final,Hislop Park,Centre Oval,13:00,Laburnum - 5th XI,Bat,Koonung Heights - 5th XI,Koonung Heights Cricket Club,"9/267 (55.1), 0/0",,Lost on first innings,13,,Laburnum - 5th XI,Laburnum Cricket Club,7/270 (58.3),,Won on first innings,13,,,Box Hill Reporter District Cricket Association,BHRDCA Senior Competition,Home and away,Summer 2025/26,,5a2b5b,5a2b5bc6-e14f-4019-a669-a2af6670faf6,Manual,09/03/2026 17:20 (Australia/Melbourne),2026-03-09T17:20:00+11:00[Australia/Melbourne],Michael Whitehead,Box Hill Reporter District Cricket Association
"10/01/2026, 17/01/2026",2026-01-10,Two Day,"C Grade (70 Overs, 12 Players)",Round 8,Final,Koonung Reserve,West Oval,13:00,Blackburn North CC - 3rd XI,Bat,Blackburn North CC - 3rd XI,Blackburn North Cricket Club,9-d/251 (69.3),,Won on first innings,12,,Laburnum - 3rd XI,Laburnum Cricket Club,6/150 (70),,Lost on first innings,12,,,Box Hill Reporter District Cricket Association,BHRDCA Senior Competition,Home and away,Summer 2025/26,,5f6033,5f603316-7592-4bde-9049-327bbebd6f6f,Manual,19/01/2026 20:29 (Australia/Melbourne),2026-01-19T20:29:00+11:00[Australia/Melbourne],Sumeet Pal,Laburnum Cricket Club
"10/01/2026, 17/01/2026",2026-01-10,Two Day,"A Grade (80 Overs, 12 Players)",Round 9,Final,Glen Waverley North Reserve,Glen Waverley North Reserve,13:00,Laburnum - 2nd XI,Bowl,Glen Waverley Cougars - 2nd XI,Glen Waverley Cougars Cricket Club,10/207 (71.2),,Won on first innings,12,,Laburnum - 2nd XI,Laburnum Cricket Club,10/193 (75.4),,Lost on first innings,12,,,Box Hill Reporter District Cricket Association,BHRDCA Senior Competition,Home and away,Summer 2025/26,,226ebb,226ebb8f-eb4d-4e1f-ac31-b4c616492443,Manual,18/01/2026 19:37 (Australia/Melbourne),2026-01-18T19:37:00+11:00[Australia/Melbourne],Lindsay Alabaster,Glen Waverley Cougars Cricket Club
"10/01/2026, 17/01/2026",2026-01-10,Two Day,"H Grade (Split Innings - 64 Overs, 13 Players)",Round 8,Final,Ballyshannassy Park,North Oval,13:00,Blackburn - 5th XI,Bowl,Blackburn - 5th XI,Blackburn Cricket Club,7/351 (64),,Won on first innings,13,,Laburnum - 4th XI,Laburnum Cricket Club,10/155 (48.3),,Lost on first innings,13,,,Box Hill Reporter District Cricket Association,BHRDCA Senior Competition,Home and away,Summer 2025/26,,4a4af8,4a4af867-f515-4636-8105-a90d4893c3e2,Manual,09/04/2026 14:10 (Australia/Melbourne),2026-04-09T14:10:00+10:00[Australia/Melbourne],Luke Gibson,Blackburn Cricket Club
